iter,best,average
0,12.274355,46.21084
1,2.6078901,30.435862
2,0.7518387,25.337156
3,3.674168,20.628641
4,3.3679724,18.23299
5,2.4623117,15.384933
6,2.125125,14.591937
7,1.007165,12.651613
8,0.09964657,15.117964
9,0.09964657,14.248975
10,1.0969343,14.037662
11,1.2601509,12.147905
12,1.211729,9.718755
13,0.7526884,9.076574
14,1.0328674,8.766216
15,1.0169659,5.8609457
16,1.0142107,7.940567
17,0.99761486,7.867279
18,0.99761486,8.054138
19,0.9953098,5.1165795
20,0.99571514,5.1302466
21,0.99571514,4.73329
22,0.99511623,3.5729547
23,0.9953966,7.9695725
24,0.9953966,8.10344
25,0.9949913,6.783287
26,0.99501324,6.286023
27,0.9949703,4.1546307
28,0.9949703,6.542081
29,0.99496555,8.1543865
30,0.9949665,7.27387
31,0.9949589,5.500716
32,0.9949589,3.4611764
33,0.9949589,4.729707
34,0.9949589,7.463202
35,0.9949589,6.7441344
36,0.9949589,7.3267145
37,0.9949589,6.706088
38,0.9949589,3.8922062
39,0.9949589,5.9806194
40,0.9949589,4.115203
41,0.9949579,5.1926017
42,0.9949579,9.828751
43,0.9949579,5.7782583
44,0.9949589,6.3503
45,0.9949589,4.1277533
46,0.9949589,6.7504897
47,0.9949589,5.611499
48,0.9949589,5.870457
49,0.9949589,5.409822
50,0.9949589,2.062939
51,0.9949589,6.731234
52,0.9949589,8.227955
53,0.9949589,6.117613
54,0.9949589,9.469542
55,0.9949589,8.021346
56,0.9949589,6.1343794
57,0.9949589,8.168523
58,0.9949589,6.6898437
59,0.9949589,5.712272
60,0.9949589,4.854653
61,0.9949589,5.464938
62,0.9949589,5.048427
63,0.9949589,7.5297728
64,0.9949589,4.9234433
65,0.9949589,5.3645086
66,0.9949589,6.250406
67,0.9949589,6.8126693
68,0.9949589,3.3641503
69,0.9949589,4.54811
70,0.9949589,5.5603952
71,0.9949589,4.5002265
72,0.9949589,7.276217
73,0.9949589,8.749594
74,0.9949589,4.194732
75,0.9949589,4.2846966
76,0.9949589,6.647817
77,0.9949589,5.4992294
78,0.9949589,5.8310423
79,0.9949589,8.61354
80,0.9949589,7.5271997
81,0.9949589,4.6967473
82,0.9949579,5.175809
83,0.9949589,7.8604493
84,0.9949589,6.3246403
85,0.9949589,9.32245
86,0.9949589,12.814113
87,0.9949589,5.777076
88,0.9949589,3.7683055
89,0.9949589,3.8622994
90,0.9949589,7.727131
91,0.9949589,7.24529
92,0.9949589,7.186746
93,0.9949589,4.7170773
94,0.9949589,6.1269975
95,0.9949589,5.011792
96,0.9949589,4.6464467
97,0.9949589,4.857494
98,0.9949589,7.2979193
99,0.47628212,5.451783
100,0.9949589,8.526823
101,0.9949589,6.378811
102,0.9949589,6.651693
103,0.9949589,6.0763893
104,0.9949589,4.485957
105,0.9949589,6.5330887
106,0.9949589,3.5987048
107,0.9949589,4.4998045
108,0.9949589,6.476326
109,0.9949589,7.1118517
110,0.9949589,5.4915724
111,0.9949589,6.513504
112,0.9949589,4.5416574
113,0.9949589,3.346199
114,0.9949589,4.5345817
115,0.9949589,6.657491
116,0.9949589,6.060431
117,0.9949589,4.8516145
118,0.9949589,5.9682803
119,0.9949589,6.224911
120,0.9949589,4.08858
121,0.9949589,4.539447
122,0.9949589,6.830802
123,0.9949589,7.066743
124,0.9949589,7.4161997
125,0.9949589,7.5094147
126,0.9949589,4.823354
127,0.9949589,4.001403
128,0.9949589,3.8686671
129,0.9949589,5.821147
130,0.9949589,6.7956095
131,0.9949589,7.872388
132,0.9949589,4.561185
133,0.9949589,6.404832
134,0.9949589,8.307013
135,0.9949589,4.405057
136,0.9949589,7.21513
137,0.9949589,4.590362
138,0.9949589,5.025883
139,0.9949589,4.154941
140,0.9949589,8.215731
141,0.9949589,6.469362
142,0.9949589,7.765322
143,0.9949589,7.7807045
144,0.9949589,5.2226863
145,0.9949589,4.833283
146,0.9949589,6.466571
147,0.9949589,5.954655
148,0.9949589,6.611075
149,0.9949589,6.6432495
