iter,best,average
0,7.481368,47.141647
1,3.745985,25.134785
2,2.9892988,12.189575
3,2.9892988,11.396586
4,2.9892988,14.622579
5,1.1074343,8.647039
6,1.1074343,11.56482
7,1.1074343,9.444853
8,1.0384693,5.704623
9,1.0384693,6.9704905
10,1.036026,4.5322747
11,1.0341415,6.038535
12,1.029665,3.8721778
13,1.0276184,6.1260448
14,1.0272646,2.828441
15,1.0272503,3.816119
16,1.0271168,3.763298
17,1.0269871,2.3372917
18,1.0268459,5.6075244
19,1.0268459,4.8058047
20,1.0267639,4.533761
21,1.0267639,4.9429345
22,1.0267572,1.591655
23,1.0267525,6.6499543
24,1.0267525,6.481218
25,1.0267525,5.527316
26,1.0267515,4.7784185
27,1.0267496,7.1571326
28,1.0267496,4.167803
29,1.0267496,4.9092207
30,1.0267496,5.0523424
31,1.0267496,4.0117445
32,1.0267496,2.9649081
33,1.0267496,8.353586
34,1.0267496,6.5477448
35,1.0267496,4.0268183
36,1.0267496,7.690932
37,1.0267496,2.8637502
38,1.0267496,6.0407076
39,1.0267496,10.8490715
40,1.0267496,2.6489277
41,1.0267496,3.1650405
42,1.0267496,6.220293
43,1.0267496,4.5924253
44,1.0267496,4.933456
45,1.0267496,7.2880783
46,1.0267496,4.422454
47,1.0267496,5.253005
48,1.0267496,4.6766577
49,1.0267496,3.8294137
50,1.0267496,3.7372181
51,1.0267496,3.2174945
52,1.0267496,7.7029915
53,1.0267496,5.803249
54,1.0267496,5.3022046
55,1.0267496,5.3011336
56,0.99746895,5.2583785
57,0.99520206,2.7336016
58,0.99520206,9.99373
59,0.9951563,2.906578
60,0.99515533,5.6855674
61,0.9951544,4.060691
62,0.9951544,4.9699783
63,0.9951544,1.7044334
64,0.9951544,5.4009256
65,0.9951544,7.081314
66,0.9951544,8.529642
67,0.9951544,5.732242
68,0.9951544,2.672813
69,0.9951544,7.238177
70,0.9951544,3.2922752
71,0.13033772,6.2644014
72,0.13033772,8.505363
73,0.030350685,11.654547
74,0.024062157,7.5500016
75,0.008167267,6.864648
76,0.006590843,4.6238356
77,0.0039367676,2.09481
78,0.0039367676,7.977104
79,0.0039367676,4.144326
80,0.0039367676,10.538285
81,0.0039367676,9.431011
82,0.0039367676,4.389048
83,0.0039367676,4.831337
84,0.0039367676,9.439868
85,0.0039367676,2.960777
86,0.0039367676,3.4859474
87,0.0039367676,4.1306973
88,0.0039367676,3.894422
89,0.0039367676,4.692889
90,0.0039367676,2.7484608
91,0.0039367676,5.5351343
92,0.0039367676,7.090131
93,0.0039367676,4.318891
94,0.0039367676,6.5570617
95,0.0039367676,5.170214
96,0.0039367676,7.5397415
97,0.0039367676,5.5715027
98,0.0039367676,1.7440479
99,0.0039367676,7.322053
100,0.0039367676,2.2106175
101,0.0039367676,5.2044296
102,0.0039367676,11.649353
103,0.0039367676,5.0882597
104,0.0039367676,2.6562924
105,0.0039367676,4.1577907
106,0.0039367676,3.4394314
107,0.0039367676,3.455812
108,0.0039367676,0.44614786
109,0.0039367676,6.1631055
110,0.0039367676,2.7590013
111,0.0039367676,3.9172683
112,0.0039367676,6.880581
113,0.0039367676,3.070782
114,0.0039367676,2.1769323
115,0.0039367676,5.248351
116,0.0039367676,6.201555
117,0.0039367676,5.737443
118,0.0039367676,2.9594893
119,0.0039367676,8.283748
120,0.0039367676,8.297186
121,0.0039367676,5.568099
122,0.0039367676,6.0319576
123,0.0039367676,7.5338836
124,0.0039367676,2.1752791
125,0.0039367676,11.963406
126,0.0039367676,3.7002244
127,0.0039367676,5.782743
128,0.0039367676,8.123529
129,0.0039367676,3.826861
130,0.0039367676,3.830864
131,0.0039367676,4.5206366
132,0.0039367676,1.1834135
133,0.0039367676,2.6251087
134,0.0039367676,1.990997
135,0.0039367676,2.5191624
136,0.0039367676,7.7163887
137,0.0039367676,8.586578
138,0.0039367676,5.5734754
139,0.0039367676,10.19808
140,0.0039367676,4.1798754
141,0.0039367676,5.751876
142,0.0039367676,5.187649
143,0.0039367676,4.3817434
144,0.0039367676,3.2456253
145,0.0039367676,7.171405
146,0.0039367676,5.847889
147,0.0039367676,0.42923817
148,0.0039367676,3.4461205
149,0.0039367676,8.088392
