iter,best,average
0,15.838436,44.988873
1,9.836533,30.930466
2,5.759879,22.8311
3,5.759879,18.777666
4,4.962289,9.714847
5,4.8787622,11.224804
6,4.850874,13.950859
7,4.731844,9.37154
8,4.692642,10.053675
9,4.6770515,10.567394
10,4.67002,5.7443266
11,4.6658163,6.6032166
12,4.6658163,9.000268
13,4.664426,9.09518
14,4.664426,8.133957
15,4.664052,8.299448
16,4.6639643,8.307903
17,4.6639366,8.839985
18,4.663933,6.6657043
19,4.663931,9.158194
20,4.663928,9.088466
21,4.663928,12.87578
22,4.663928,13.952553
23,4.146738,5.7211833
24,4.146738,6.466961
25,4.059552,9.1142645
26,4.0547123,11.649933
27,4.0484905,14.213423
28,4.0335426,6.4827414
29,4.022333,5.514681
30,4.022333,6.9348693
31,4.022151,11.334116
32,4.0219393,8.140016
33,4.021886,8.062983
34,4.0218573,6.2657347
35,4.0218573,7.747213
36,4.021846,7.6399336
37,4.021846,10.424859
38,4.021846,10.528311
39,4.021844,5.8747587
40,4.021842,10.688723
41,4.021842,5.5321226
42,4.021842,6.3070326
43,4.021842,10.333626
44,4.021842,10.644686
45,4.021842,12.531145
46,4.021842,7.4426165
47,4.021842,7.8041964
48,4.021842,8.95667
49,4.021842,8.593074
50,4.021842,6.6790724
51,4.021842,9.686415
52,4.021842,5.142182
53,4.021842,16.756311
54,4.021842,10.404982
55,4.021842,6.8853087
56,4.021842,10.375872
57,4.021842,12.800693
58,4.021842,5.762908
59,4.021842,8.636521
60,4.021842,7.364733
61,4.021842,10.049506
62,4.021842,9.583483
63,4.021842,7.040222
64,4.021842,10.239795
65,4.021842,11.107214
66,4.021842,9.797071
67,4.021842,5.128823
68,4.021842,6.4517503
69,4.021842,7.867617
70,4.021842,8.666962
71,4.021842,7.434601
72,4.021842,10.738807
73,4.021842,5.0500793
74,4.021842,7.4118195
75,4.021842,7.291497
76,4.021842,5.3417716
77,4.021842,14.67748
78,4.021842,5.7934594
79,4.021842,9.033499
80,4.021842,7.6084313
81,4.021842,7.5138383
82,4.021842,6.7459664
83,4.021842,6.806994
84,4.021842,4.8644705
85,4.021842,9.616684
86,4.021842,9.289046
87,4.021842,8.71467
88,4.021842,7.6652145
89,4.021842,4.0218425
90,4.021842,4.8613276
91,4.021842,6.591901
92,4.021842,7.0149927
93,4.021842,6.4874015
94,4.021842,7.5301514
95,4.021842,8.997536
96,4.021842,10.3505
97,4.021842,6.5652823
98,4.021842,4.665977
99,4.021842,11.83322
100,4.021842,7.865812
101,4.021842,13.039179
102,4.021842,8.17182
103,4.021842,10.591246
104,4.021842,11.258163
105,4.021842,6.51291
106,4.021842,9.991187
107,4.021842,9.391905
108,4.021842,8.037735
109,4.021842,6.211081
110,4.021842,8.149566
111,4.021842,8.111628
112,4.021842,9.784809
113,4.021842,11.880981
114,4.021842,12.32548
115,4.021842,7.298148
116,4.021842,7.0202727
117,4.021842,5.251239
118,4.021842,8.406435
119,4.021842,8.187646
120,4.021842,7.575994
121,4.021842,8.779041
122,4.021842,11.327673
123,4.021842,8.564592
124,4.021842,5.180779
125,4.021842,9.230097
126,4.021842,5.5518465
127,4.021842,6.8786
128,4.021842,6.313182
129,4.021842,8.540627
130,4.021842,6.5828156
131,4.021842,9.616265
132,4.021842,10.7608
133,2.8891764,7.0873733
134,1.5231028,9.075773
135,1.2898769,9.318884
136,1.2883711,5.9121485
137,1.2883711,7.4389467
138,1.2634821,7.0467415
139,1.0220261,6.4586005
140,1.0220261,3.0680404
141,1.0011139,1.4085636
142,0.9420557,5.477922
143,0.9420557,8.395894
144,0.2228527,7.4745913
145,0.0016422272,4.4139752
146,0.0015258789,7.9748344
147,0.0014820099,6.3534
148,0.0014667511,7.4439783
149,0.0014667511,4.6887436
