iter,best,average
0,23.53897,47.415215
1,15.2459755,30.372456
2,6.1589527,20.749063
3,6.1589527,21.495092
4,1.9717417,14.392438
5,1.0025654,10.310465
6,0.9970226,3.8331902
7,0.9970226,6.3636856
8,0.9959183,8.627279
9,0.9959183,4.602483
10,0.99567413,5.4017463
11,0.9956207,5.1321363
12,0.9955902,8.6429405
13,0.9955902,5.2405252
14,0.99558353,5.821809
15,0.99558353,8.061497
16,0.9955826,4.06152
17,0.9955826,9.881178
18,0.9955816,7.7641907
19,0.9955816,4.5548825
20,0.9955816,1.8873514
21,0.9955807,6.230775
22,0.9955807,8.039759
23,0.9955807,6.046107
24,0.9955807,6.8904924
25,0.9955807,2.3208866
26,0.9955807,3.7176785
27,0.9955807,6.036724
28,0.9955807,7.5130553
29,0.9955807,4.863295
30,0.9955807,5.8279366
31,0.9955807,2.3743567
32,0.9955807,6.3543873
33,0.9955807,6.011312
34,0.9955807,4.68202
35,0.9955807,6.113861
36,0.9955807,7.0389338
37,0.9955807,7.0205054
38,0.9955807,8.237175
39,0.9955807,7.464732
40,0.9955807,1.523551
41,0.9955807,2.5068412
42,0.9955807,7.1896424
43,0.9955807,8.175919
44,0.9955807,6.0244765
45,0.9955807,3.2864468
46,0.9955807,7.345247
47,0.9955807,7.82147
48,0.9955807,3.4968536
49,0.9955807,8.428852
50,0.9955807,4.9524245
51,0.9955807,9.417295
52,0.9955807,5.3945565
53,0.9955807,2.703563
54,0.9955807,5.4362006
55,0.9955807,7.445197
56,0.9955807,2.4034047
57,0.9955807,2.4840813
58,0.9955807,3.5532117
59,0.9955807,5.322457
60,0.9955807,3.7820804
61,0.9955807,6.100657
62,0.9955807,6.0010924
63,0.9955807,3.4112105
64,0.9955807,5.1404467
65,0.9955807,4.8494387
66,0.9955807,5.8687477
67,0.9955807,6.5227976
68,0.9955807,7.994725
69,0.9955807,8.556096
70,0.9955807,6.1006613
71,0.9955807,4.9273953
72,0.9955807,2.8057323
73,0.9955807,4.3444014
74,0.9955807,8.520063
75,0.9955807,6.7075744
76,0.9952326,5.3247705
77,0.9952326,6.0078135
78,0.99519634,2.7719824
79,0.99509335,9.074032
80,0.99509335,7.326552
81,0.9950838,4.3692255
82,0.9950819,7.696644
83,0.9950819,3.0104618
84,0.9950819,6.4775605
85,0.99508095,5.456649
86,0.99508095,4.9140387
87,0.99508095,4.9837885
88,0.99508095,4.7662783
89,0.99508095,2.8467891
90,0.99508095,3.9576428
91,0.99508095,6.261138
92,0.99508095,5.111428
93,0.99508095,5.3501225
94,0.99508095,2.8102157
95,0.99508095,3.1875415
96,0.99508095,4.7727823
97,0.99508095,4.995591
98,0.99508095,4.110487
99,0.99508095,8.088908
100,0.99508095,10.313013
101,0.99508095,5.7413735
102,0.99508095,4.557122
103,0.99508095,4.8503723
104,0.99508095,4.005243
105,0.99508095,9.248271
106,0.99508095,6.84748
107,0.99508095,4.7901707
108,0.99508095,2.4495914
109,0.99508095,5.271501
110,0.99508095,4.257274
111,0.99508095,6.8669815
112,0.99508095,5.6782746
113,0.99508095,7.2343764
114,0.99508095,5.8571754
115,0.99508095,9.175135
116,0.99508095,6.0868907
117,0.99508095,5.6509295
118,0.99508095,6.014134
119,0.99508095,6.0168157
120,0.99508095,5.645018
121,0.99508095,8.756165
122,0.99508095,6.423513
123,0.99508095,1.0968628
124,0.99508095,5.3962607
125,0.99508095,11.3972025
126,0.99508095,3.841653
127,0.99508095,7.8067083
128,0.99508095,3.9684887
129,0.99508095,6.6264014
130,0.99508095,9.696305
131,0.99508095,4.317634
132,0.99508095,3.7509398
133,0.99508095,6.8491135
134,0.99508095,5.0215034
135,0.99508095,3.150478
136,0.99508095,5.1284075
137,0.99508095,4.869939
138,0.99508095,5.0529447
139,0.99508095,5.261245
140,0.99508095,6.536565
141,0.99508095,5.3413925
142,0.99508095,3.6895263
143,0.99508095,4.49854
144,0.99508095,5.6856413
145,0.99508095,6.332286
146,0.99508095,6.919137
147,0.99508095,5.827962
148,0.99508095,3.3902326
149,0.99508095,6.925317
