iter,best,average
0,4.0312223,31.49981
1,0.3799734,23.920664
2,0.3799734,22.103262
3,0.3799734,19.92404
4,0.3799734,24.150698
5,0.3799734,23.04188
6,0.3799734,19.919218
7,0.3799734,22.708992
8,0.3799734,22.102507
9,0.19753933,20.780327
10,0.19753933,18.848583
11,0.19753933,19.997387
12,0.11195755,17.949923
13,0.11195755,20.87445
14,0.11195755,18.542967
15,0.11195755,20.344423
16,0.11195755,17.3688
17,0.11195755,20.405771
18,0.11195755,16.057894
19,0.11043835,19.280302
20,0.11043835,16.558239
21,0.11043835,17.03726
22,0.016557693,16.949776
23,0.016557693,18.018038
24,0.016557693,15.891357
25,0.016557693,15.021836
26,0.016557693,18.280134
27,0.016557693,15.196851
28,0.016557693,16.161663
29,0.016557693,16.037075
30,0.016557693,14.880477
31,0.016523361,17.441204
32,0.013680458,14.243958
33,0.0134058,14.71437
34,0.0134058,14.94604
35,0.013168335,17.39027
36,0.013168335,13.396929
37,0.013168335,17.369541
38,0.013168335,13.435377
39,0.013168335,14.071419
40,0.0051288605,13.919056
41,0.0051288605,13.482103
42,0.0034914017,14.196342
43,4.4345856E-4,13.77501
44,4.4345856E-4,14.210862
45,4.4345856E-4,11.847221
46,4.4345856E-4,13.373761
47,4.4345856E-4,12.634915
48,4.4345856E-4,13.61289
49,2.3365021E-4,11.610298
50,2.3365021E-4,12.296545
51,2.3365021E-4,14.556749
52,1.8787384E-4,8.808214
53,7.43866E-5,11.756824
54,7.43866E-5,10.760198
55,7.43866E-5,11.136848
56,7.43866E-5,11.58224
57,7.43866E-5,10.608781
58,7.43866E-5,11.574222
59,7.43866E-5,11.013675
60,7.43866E-5,12.274958
61,7.43866E-5,11.643635
62,7.43866E-5,12.9465275
63,7.43866E-5,10.949741
64,7.43866E-5,10.499097
65,7.43866E-5,11.500988
66,7.43866E-5,9.536559
67,1.9073486E-6,10.894369
68,1.9073486E-6,9.993692
69,1.9073486E-6,11.427593
70,1.9073486E-6,7.839707
71,1.9073486E-6,11.8688345
72,1.9073486E-6,8.950417
73,1.9073486E-6,8.994192
74,1.9073486E-6,8.39627
75,1.9073486E-6,8.566826
76,1.9073486E-6,9.420953
77,1.9073486E-6,7.641736
78,1.9073486E-6,8.579628
79,1.9073486E-6,6.5178328
80,1.9073486E-6,6.9344845
81,1.9073486E-6,7.789612
82,1.9073486E-6,8.494486
83,1.9073486E-6,5.8118267
84,1.9073486E-6,8.697391
85,1.9073486E-6,9.594532
86,1.9073486E-6,9.658763
87,1.9073486E-6,7.467449
88,1.9073486E-6,10.101925
89,1.9073486E-6,7.201667
90,1.9073486E-6,8.590488
91,1.9073486E-6,8.145195
92,1.9073486E-6,7.867243
93,1.9073486E-6,7.1881914
94,1.9073486E-6,5.6425548
95,1.9073486E-6,8.21974
96,1.9073486E-6,7.7610064
97,1.9073486E-6,7.5804276
98,1.9073486E-6,7.135315
99,1.9073486E-6,7.3660083
100,1.9073486E-6,6.8123403
101,1.9073486E-6,8.011733
102,1.9073486E-6,7.99372
103,1.9073486E-6,6.492724
104,1.9073486E-6,7.70313
105,1.9073486E-6,5.437073
106,1.9073486E-6,6.4590826
107,1.9073486E-6,5.3496947
108,1.9073486E-6,5.796735
109,1.9073486E-6,5.497881
110,1.9073486E-6,6.0140033
111,1.9073486E-6,5.872694
112,1.9073486E-6,4.955645
113,1.9073486E-6,6.1953597
114,1.9073486E-6,4.5853076
115,1.9073486E-6,4.240947
116,1.9073486E-6,4.59397
117,1.9073486E-6,4.8342495
118,1.9073486E-6,3.966044
119,1.9073486E-6,4.323789
120,1.9073486E-6,4.345449
121,1.9073486E-6,4.298692
122,1.9073486E-6,4.0003905
123,1.9073486E-6,5.243798
124,1.9073486E-6,3.7527268
125,1.9073486E-6,4.4659014
126,0.0,3.4318092
127,0.0,3.9601297
128,0.0,4.65014
129,0.0,3.349051
130,0.0,2.9207523
131,0.0,3.5388098
132,0.0,3.3876956
133,0.0,3.213637
134,0.0,3.580455
135,0.0,3.1294827
136,0.0,3.274125
137,0.0,3.6766884
138,0.0,2.352825
139,0.0,2.8823211
140,0.0,3.211651
141,0.0,2.7293186
142,0.0,3.1248398
143,0.0,3.1932154
144,0.0,3.6490805
145,0.0,3.018979
146,0.0,4.148634
147,0.0,2.1407313
148,0.0,3.2025535
149,0.0,3.6042316
