iter,best,average
0,4.1177616,37.3321
1,4.1177616,17.186764
2,4.0649157,9.1924515
3,4.0649157,13.1271305
4,2.1213617,4.9669056
5,2.1213617,5.8914313
6,2.1213617,4.277398
7,2.1213617,3.4183788
8,2.1213617,3.211689
9,2.1213617,2.3640962
10,2.1213617,3.300877
11,2.1213617,2.2080128
12,2.1213617,5.076245
13,2.1213617,2.319099
14,2.0181808,2.421098
15,1.960844,2.8270726
16,1.0913019,3.3613255
17,1.0818281,4.244914
18,1.0728331,3.927751
19,1.0569353,1.915522
20,1.0519705,3.1020744
21,1.0519705,4.2092543
22,1.0518389,1.0521886
23,1.0516958,3.141219
24,1.051691,4.3935466
25,1.051691,2.7983205
26,1.051691,2.764934
27,1.051691,3.185182
28,1.051691,2.3757522
29,1.051691,3.06492
30,1.051691,2.4865751
31,1.051691,1.051691
32,1.051691,2.3443313
33,1.051691,2.995107
34,1.051691,3.2599385
35,1.051691,1.9569607
36,1.051691,3.8901246
37,1.051691,2.9649234
38,1.051691,2.64646
39,1.051691,2.5865529
40,1.051691,1.7031715
41,1.051691,1.5901412
42,1.051691,3.1063187
43,1.051691,2.5460758
44,1.051691,2.4068763
45,1.051691,5.881522
46,1.051691,4.0347013
47,1.051691,1.051691
48,1.051691,2.8837802
49,1.051691,3.4323564
50,1.051691,1.7399604
51,1.051691,2.0441566
52,1.051691,2.502765
53,1.051691,5.095543
54,1.051691,2.4087644
55,1.051691,1.9745766
56,1.051691,1.1054233
57,1.051691,2.3511124
58,1.051691,1.3807201
59,1.051691,1.988768
60,1.051691,4.022465
61,1.051691,1.866506
62,1.051691,1.9913025
63,1.051691,2.7190807
64,1.051691,2.2711842
65,1.051691,2.529408
66,1.051691,1.6485676
67,1.051691,2.6365108
68,1.051691,1.7703311
69,1.051691,2.3062367
70,1.051691,1.8567597
71,1.051691,2.4377742
72,1.051691,2.3868275
73,1.051691,3.3277793
74,1.051691,1.9732888
75,1.051691,2.4609828
76,1.051691,2.1075294
77,1.051691,1.5879589
78,1.051691,2.7898202
79,1.051691,3.5384037
80,1.051691,1.6203129
81,1.051691,2.4441535
82,1.051691,1.876456
83,1.051691,1.124586
84,1.051691,4.1383333
85,1.051691,1.824007
86,1.051691,2.1966038
87,1.051691,3.8164163
88,1.051691,2.247603
89,1.051691,1.6921394
90,1.051691,2.7151382
91,1.051691,1.3296297
92,1.051691,3.346344
93,1.051691,3.8923917
94,1.051691,2.3446763
95,1.051691,2.8566923
96,1.051691,3.9144032
97,1.051691,1.7254684
98,1.051691,2.5038357
99,1.051691,2.6204896
100,1.051691,3.9474163
101,1.051691,3.0712852
102,1.051691,2.473662
103,1.051691,2.8995838
104,1.051691,1.9443833
105,1.051691,1.051691
106,1.051691,1.6177826
107,1.051691,4.048265
108,1.051691,4.3376956
109,1.051691,2.5622869
110,1.051691,2.4357252
111,1.051691,1.051691
112,1.051691,1.8930401
113,1.051691,3.2793808
114,1.051691,1.051691
115,1.051691,1.3614808
116,1.051691,3.698377
117,1.051691,2.6251187
118,1.051691,4.27921
119,1.051691,1.2593758
120,1.051691,2.391557
121,1.051691,1.3570174
122,1.051691,1.7027527
123,1.051691,1.3178086
124,1.051691,1.9618816
125,1.051691,2.4713142
126,1.051691,2.577645
127,1.051691,1.051691
128,1.051691,4.6413755
129,1.051691,4.440904
130,1.051691,1.588721
131,1.051691,2.4703987
132,1.051691,1.7421792
133,1.051691,1.4400679
134,1.051691,2.9398942
135,1.051691,2.8762543
136,1.051691,3.043026
137,1.051691,3.0437539
138,1.051691,3.1940312
139,1.051691,3.4492576
140,1.051691,3.5679653
141,1.051691,2.1168625
142,1.051691,2.2850614
143,1.051691,1.4005363
144,1.051691,1.6112705
145,1.051691,6.5152345
146,1.051691,2.2299793
147,1.051691,1.051691
148,1.051691,3.360577
149,1.051691,2.2762542
