iter,best,average
0,12.9710245,40.980614
1,2.6883664,16.316095
2,1.8598051,9.748723
3,1.8598051,4.262
4,1.649787,3.380338
5,1.4712973,4.0454326
6,1.4608564,2.1883447
7,1.4607143,1.8753605
8,1.4603567,2.7753828
9,1.4603376,2.301735
10,1.4603281,3.5153644
11,1.4603233,2.7830045
12,1.4603233,3.127128
13,1.4603233,3.0652075
14,1.4603233,1.4603233
15,1.4603233,1.5872939
16,1.4603233,3.8089345
17,1.4603233,3.764172
18,1.4603233,3.8753867
19,1.4603233,4.7313704
20,1.4603233,2.5227115
21,1.4603233,1.6655067
22,1.4603233,2.4429624
23,1.4603233,1.4944624
24,1.4603233,3.9622512
25,1.4603233,2.0692735
26,1.4603233,4.5279093
27,1.4603233,4.180228
28,1.4603233,2.305669
29,1.4603233,3.3908095
30,1.4603233,1.9340439
31,1.4603233,1.5301946
32,1.4603233,3.1600099
33,1.4603233,3.8362968
34,1.4603233,3.680017
35,1.4603233,2.417206
36,1.4603233,2.287762
37,1.4603233,2.084284
38,1.4603233,1.9223373
39,1.4603233,1.9698349
40,1.4603233,2.1772218
41,1.4603233,2.4911597
42,1.1692162,3.0669394
43,1.1215353,2.173217
44,1.077754,1.9835432
45,1.0750475,2.4246051
46,1.0656853,1.0758436
47,1.0627508,2.0617054
48,1.0623417,1.7269005
49,1.0623417,2.4739125
50,1.062336,2.8987992
51,1.062336,2.453468
52,1.062336,2.4631302
53,1.062336,3.7624779
54,1.062336,1.7027813
55,1.062336,2.4183588
56,1.062336,3.8574264
57,1.062336,1.9586039
58,1.062336,1.0866165
59,1.062336,1.9737726
60,1.062336,3.8701904
61,1.062336,2.846993
62,1.062336,2.10337
63,1.062336,3.6056724
64,1.062336,2.1817145
65,1.062336,1.1801014
66,1.062336,2.348003
67,1.062336,2.3762362
68,1.062336,3.8301952
69,1.062336,1.8339659
70,1.062336,2.922663
71,1.062336,3.452874
72,1.062336,3.2781608
73,1.062336,1.27152
74,1.062336,1.9997423
75,1.062336,3.4827964
76,1.062336,2.1999488
77,1.062336,2.6455848
78,1.062336,3.0827436
79,1.062336,1.6915745
80,1.062336,3.523107
81,1.062336,2.5155635
82,1.062336,2.8983073
83,1.062336,3.4022317
84,1.062336,3.6869698
85,1.062336,2.2513776
86,1.062336,1.3167127
87,1.062336,2.4306993
88,1.062336,1.0874531
89,1.062336,3.1660898
90,1.062336,3.0556345
91,1.062336,3.4303277
92,1.062336,1.966027
93,1.062336,1.4903972
94,1.062336,3.7956345
95,1.062336,2.8390517
96,1.062336,3.35756
97,1.062336,2.764597
98,1.062336,6.207521
99,1.062336,2.3023458
100,1.062336,1.9899309
101,1.062336,1.062336
102,1.062336,2.444363
103,1.062336,4.8004737
104,1.062336,3.9342003
105,1.062336,3.536335
106,1.062336,2.9440105
107,1.062336,1.7736607
108,1.062336,2.41009
109,1.062336,2.4632037
110,1.062336,2.7399735
111,1.062336,3.409861
112,1.062336,2.9201083
113,1.062336,2.1213531
114,1.062336,2.298574
115,1.062336,1.9567487
116,1.062336,1.460171
117,1.062336,3.698851
118,1.062336,2.375993
119,1.062336,2.2438884
120,1.062336,2.0322347
121,1.062336,2.3689322
122,1.062336,3.7859268
123,1.062336,1.4816065
124,1.062336,4.5204062
125,1.062336,2.4997146
126,1.062336,1.3046373
127,1.062336,1.062336
128,1.062336,1.0700645
129,1.062336,2.8307536
130,1.062336,1.062336
131,1.062336,2.7361448
132,1.062336,3.3530326
133,1.062336,2.8778133
134,1.062336,1.062336
135,1.062336,2.317286
136,1.0561934,1.2403517
137,0.994998,1.0460222
138,0.994998,4.2065496
139,0.9949846,4.655051
140,0.9949732,4.2575226
141,0.9949732,4.797943
142,0.9949732,2.9019237
143,0.9949732,4.790859
144,0.9949732,2.7939298
145,0.9949732,2.8294244
146,0.9949732,1.6726936
147,0.9949732,2.111831
148,0.9949732,3.6745791
149,0.9949732,2.5752053
