iter,best,average
0,1.1829348,36.741894
1,1.1829348,31.314104
2,1.1829348,24.575384
3,1.0970659,26.328306
4,1.0970659,25.150066
5,1.0970659,27.946457
6,1.0970659,26.477623
7,0.99957275,25.042536
8,0.99957275,23.918486
9,0.99957275,27.517078
10,0.99957275,26.265764
11,0.997777,24.371
12,0.997777,22.679768
13,0.997777,24.553911
14,0.997777,25.056562
15,0.30819225,24.330042
16,0.30819225,22.257214
17,0.30819225,23.505606
18,0.30819225,24.13778
19,0.30819225,22.228086
20,0.30819225,25.136467
21,0.30819225,23.164167
22,0.30819225,20.648655
23,0.30819225,23.702698
24,0.30819225,24.085447
25,0.30819225,23.675377
26,0.30819225,21.701563
27,0.30819225,19.89585
28,0.30819225,23.554174
29,0.30819225,22.727642
30,0.30819225,23.953701
31,0.30819225,22.074461
32,0.23013496,19.557991
33,0.23013496,22.401234
34,0.05654335,20.867807
35,0.05654335,25.036726
36,0.05654335,18.610245
37,0.05654335,23.299936
38,0.05654335,20.896935
39,0.05654335,21.941006
40,0.05654335,21.759262
41,0.046884537,21.449638
42,0.046884537,19.724072
43,0.0106134415,20.803278
44,0.0106134415,21.36214
45,0.0106134415,23.254475
46,0.0106134415,23.079561
47,0.0106134415,24.23849
48,0.0106134415,21.799873
49,0.0106134415,22.323643
50,0.0106134415,24.64289
51,0.0106134415,21.841997
52,0.0106134415,21.280367
53,0.0106134415,20.851957
54,0.0106134415,23.523518
55,0.0106134415,23.707104
56,0.0106134415,22.658941
57,0.0106134415,22.648481
58,0.0106134415,24.049326
59,0.0106134415,23.04496
60,0.0106134415,22.704418
61,0.0106134415,26.576601
62,0.0106134415,18.88242
63,0.0106134415,24.265383
64,0.0106134415,24.913855
65,0.0106134415,21.917496
66,0.0106134415,21.320278
67,0.0106134415,21.963371
68,0.0106134415,23.245726
69,0.0106134415,20.795227
70,0.0106134415,20.600134
71,0.0106134415,21.776875
72,0.0106134415,23.820734
73,0.0106134415,25.599255
74,0.0106134415,26.026318
75,0.0106134415,22.356142
76,0.0106134415,22.963734
77,0.0106134415,23.152939
78,0.0106134415,22.962164
79,0.0106134415,22.765469
80,0.0106134415,21.940928
81,0.0106134415,23.848845
82,0.0106134415,25.395424
83,0.0106134415,21.31061
84,0.0106134415,20.2736
85,0.0106134415,21.466652
86,0.0106134415,25.687317
87,0.0106134415,22.167486
88,0.0106134415,19.39146
89,0.0106134415,19.992659
90,0.0106134415,21.04957
91,0.0106134415,19.618414
92,0.0106134415,23.785715
93,0.0106134415,25.267298
94,0.0106134415,23.02015
95,0.0106134415,22.63491
96,0.0106134415,21.847282
97,0.0106134415,20.602793
98,0.0106134415,24.143118
99,0.0106134415,21.489426
100,0.0106134415,21.804663
101,0.0106134415,24.295208
102,0.0106134415,25.509607
103,0.0106134415,23.062654
104,0.0106134415,22.564909
105,0.0106134415,22.281025
106,0.0106134415,22.948347
107,6.132126E-4,21.252039
108,6.132126E-4,19.427011
109,6.132126E-4,20.670158
110,6.132126E-4,22.62485
111,6.132126E-4,24.466728
112,5.903244E-4,23.2023
113,5.903244E-4,21.593794
114,5.903244E-4,20.58094
115,5.903244E-4,22.466486
116,5.903244E-4,23.05412
117,5.903244E-4,22.086414
118,5.903244E-4,19.838722
119,5.903244E-4,22.646173
120,5.903244E-4,19.559261
121,5.903244E-4,23.118568
122,5.903244E-4,22.658045
123,5.903244E-4,20.888296
124,5.903244E-4,20.401339
125,5.903244E-4,23.643505
126,5.903244E-4,22.88177
127,5.903244E-4,20.90188
128,5.903244E-4,20.855127
129,5.903244E-4,18.760313
130,5.903244E-4,21.042034
131,5.903244E-4,23.510527
132,5.903244E-4,22.080843
133,5.903244E-4,21.190092
134,5.903244E-4,20.811792
135,5.903244E-4,21.208796
136,5.903244E-4,22.048037
137,5.903244E-4,22.539043
138,1.8119812E-5,20.043571
139,1.8119812E-5,21.453938
140,1.8119812E-5,24.03225
141,1.8119812E-5,25.097837
142,1.8119812E-5,22.321115
143,1.8119812E-5,23.461624
144,1.8119812E-5,21.973522
145,1.8119812E-5,22.323
146,1.8119812E-5,20.523972
147,1.8119812E-5,22.399883
148,1.8119812E-5,23.454876
149,1.8119812E-5,19.638138
